	Protein1	Protein2	spearman_erythrocyte	Spearman_all	Pearson_all
106	Q8I0P6	Q8IIB4	0.9047619047619048	0.6205533596837945	0.9807423187976267
107	Q6ZMA8	Q8I2H3	-0.38095238095238104	0.4189723320158103	0.9361151531782113
108	C0H4A6	Q8IK15	-0.1666666666666667	-0.2114624505928854	-0.2724856930698968
109	Q8IJN7	Q8ILL2	0.7857142857142858	0.9100790513833993	0.9076616120927683
110	Q8IJV6	Q8ILK3	0.6904761904761906	0.8705533596837944	0.9632188654599705
111	Q8I0P6	Q8IEK3	-0.14285714285714288	0.40711462450592883	0.7758809312484155
112	Q8IC01	Q8III6	0.880952380952381	0.6926877470355731	0.9246627734927675
113	C6KT25	Q8IL58	-0.3333333333333334	0.06620553359683795	0.7600309182073237
114	Q8I280	Q8I323	0.9047619047619048	0.892292490118577	0.982978848788481
115	A0A5K1K8V8	Q8IL02	0.9523809523809524	0.7223320158102766	0.9667945468829742
116	C6KST5	Q8IC01	0.9523809523809524	0.8893280632411068	0.9916823774038115
117	O00806	Q8IIM8	-0.04761904761904763	0.5770750988142292	0.9479644980084154
118	K7NTP5	Q8IL02	0.3333333333333334	0.8399209486166009	0.8659729239493329
119	O96220	Q8IJN9	0.7142857142857144	0.6897233201581028	0.9804037557690601
120	Q8I1V1	Q8I2X4	0.8333333333333335	0.7015810276679841	0.9942610988565628
121	Q8I484	Q8IJM9	0.38095238095238104	0.31225296442687744	0.3706434646582275
122	K7NTP5	O77381	0.4523809523809524	0.7677865612648223	0.8583083663113349
123	Q8IE66	Q8IJN9	-0.7380952380952381	0.19762845849802374	-0.11825580302872046
124	Q8I0X1	Q8IEA6	0.523809523809524	0.6511857707509883	0.8125119712533411
125	Q8I3M5	Q8IAY9	0.4047619047619048	0.825098814229249	0.9867381569475172
126	O97282	Q8IDZ8	0.9047619047619048	0.9130434782608695	0.9939684720062336
127	Q8I1V1	Q8I431	0.023809523809523815	0.26778656126482214	0.7709974518957529
128	C6KT23	Q8IAX6	0.9523809523809524	0.9249011857707511	0.9910068696894372
129	Q8ID28	Q8IL02	0.2380952380952381	0.3389328063241107	0.833527554241648
130	C0H4Y6	Q8I2V9	0.4047619047619048	0.5069169960474309	0.8981066317171214
131	O97313	Q8IJX8	0.5714285714285715	0.7707509881422924	0.9729283928928836
132	C0H4V6	Q8ID28	0.7619047619047621	0.674901185770751	0.9956316642980758
133	Q8IAR3	Q8II43	0.3571428571428572	0.58300395256917	0.7385947380851334
134	A0A5K1K9E5	Q8I0V2	-0.7619047619047621	0.010869565217391304	-0.16463411499137498
135	Q8I476	Q8IIX5	0.7380952380952381	0.5741106719367589	0.7230426754714254
136	Q8IET7	Q8IKV8	0.19047619047619052	0.6156126482213439	0.8332610541335166
137	Q8IJA0	Q8IJM0	0.9761904761904763	0.9693675889328063	0.997668233255
138	Q76NM4	Q7K6A5	0.4285714285714286	0.6541501976284586	0.763074767716349
139	Q8I6S5	Q8IFP3	0.19047619047619052	0.592885375494071	0.8958437852819744
140	O97313	Q8IM10	0.9285714285714287	0.9891304347826088	0.9960735963362648
141	O97282	Q6ZLZ9	-0.023809523809523815	0.3191699604743083	0.7207661022055689
142	Q8II61	Q8IKM5	0.9047619047619048	0.9476284584980237	0.9932254733361823
143	Q8IB24	Q8IIV1	-0.4285714285714286	0.21541501976284588	0.49656916377961724
144	Q8I487	Q8IM10	-0.11904761904761905	0.20256916996047433	-0.025612799791891086
145	Q8I2X4	Q8IFP3	0.28571428571428575	0.191699604743083	0.8315678179191603
146	Q8I2J3	Q8IC01	0.880952380952381	0.8043478260869565	0.9876504978278606
147	Q8IFP2	Q8IL02	0.6666666666666669	0.7282608695652173	0.925807093680358
148	O97313	Q8IIM8	-0.09523809523809526	0.383399209486166	0.9268887251189625
149	Q8IEQ1	Q8IIA2	-0.11904761904761905	0.26877470355731226	0.8221605168112469
150	C6S3H3	Q8I490	-0.04761904761904763	-0.011857707509881422	-0.15119296362082668
151	A0A5K1K967	C6KTA3	0.38095238095238104	0.7559288537549407	0.956319420543145
152	Q8IJ76	Q9TY99	0.023809523809523815	0.33992094861660077	0.34627885925704366
153	Q8II71	Q8IIJ6	0.6666666666666669	0.6897233201581028	0.9682879395150401
154	Q8IAX8	Q8IIV2	-0.4285714285714286	-0.02964426877470356	0.6631344198454321
155	Q8I3T8	Q8IL02	0.880952380952381	0.9752964426877472	0.9940622655145528
156	O00806	Q8IET7	0.9761904761904763	0.700592885375494	0.9470451918361917
157	Q8IAX6	Q8IBY4	1.0	0.983201581027668	0.996595031674369
158	Q8IDB0	Q8IIB4	0.9523809523809524	0.8666007905138341	0.9912920690930453
159	Q7KQL9	Q8II43	0.07142857142857144	0.41600790513833996	0.9088139542913203
160	Q8IBY4	Q8ILL3	0.9285714285714287	0.9466403162055337	0.9916797988710649
161	Q8I3R0	Q8IJV6	0.4761904761904762	0.8221343873517787	0.9738973948696612
162	C0H4V6	Q8I5Y9	0.7380952380952381	0.49703557312252966	0.892434041860785
163	Q8I274	Q8I3W9	0.9047619047619048	0.9288537549407114	0.9471800318786587
164	Q8II43	Q8IJN9	0.6666666666666669	0.6166007905138341	0.9742655535118507
165	Q8I463	Q8IKX4	0.4761904761904762	0.44565217391304346	0.922935547725402
166	Q8IBY4	Q8IL58	0.8571428571428572	0.7193675889328064	0.9389541264852337
167	Q76NN6	Q8I3J0	0.2142857142857143	0.7381422924901185	0.8814488025762798
168	Q8I6U7	Q8IJN9	-0.09523809523809526	0.17687747035573123	0.42386645154521435
169	Q8I463	Q8IIU8	0.9047619047619048	0.8754940711462451	0.98304229600918
170	O96221	Q8IB60	0.8333333333333335	0.6146245059288538	0.988815851862519
171	Q8IE10	Q8IKM5	0.8571428571428572	0.6541501976284586	0.9188767715691911
172	Q8IFM9	Q8IIX5	-0.7619047619047621	-0.1689723320158103	-0.09865321334996902
173	C6KST5	Q8IBI3	0.5000000000000001	0.6768774703557312	0.7958868818385505
174	Q8IJ60	Q8IJC6	-0.07142857142857144	0.4950592885375494	0.8902327377501329
175	Q6ZMA8	Q8I0V2	0.04761904761904763	0.38932806324110675	0.9364794531543446
176	Q8I374	Q8I5B6	-0.4761904761904762	0.2816205533596838	0.8266732909833021
177	C6KT19	Q8IC05	-0.8095238095238096	0.09189723320158102	0.6868764469681099
178	Q8IEJ6	Q8IL11	-0.2142857142857143	0.04051383399209487	0.7066061436585973
179	Q8IFM0	Q8IFM9	-0.7857142857142858	-0.3675889328063241	-0.2462991931526906
180	Q8I0U7	Q8IK90	0.9761904761904763	0.8814229249011858	0.9806772836888462
181	Q8I1S0	Q8I5B3	0.1666666666666667	0.5009881422924901	0.9954248257467228
182	O97313	Q8IET7	0.9523809523809524	0.882411067193676	0.9698301900364189
183	Q8I0P6	Q8IJX8	0.6190476190476191	0.8102766798418973	0.9781036209183681
184	A0A5K1K7U1	Q8II71	0.9761904761904763	0.9387351778656127	0.9945068486270712
185	C6KT23	Q8IJX8	0.3333333333333334	0.758893280632411	0.9747373598717752
186	Q8IBN4	Q8IC43	0.5714285714285715	0.23023715415019763	0.08071324617990144
187	Q8ID28	Q8II24	0.4761904761904762	0.7371541501976284	0.6563430848821377
188	C0H4V6	Q8IIG6	0.0	0.3843873517786562	0.9028269277584458
189	C0H5C2	Q8IIB4	0.7857142857142858	0.8270750988142292	0.9869642605574733
190	C0H5H0	Q8IFP3	0.4047619047619048	0.30335968379446643	0.8240970955701994
191	Q6ZLZ9	Q8ILA4	-0.09523809523809526	0.17885375494071146	0.5232652204106146
192	C6KT34	Q8IKC9	0.9761904761904763	0.9604743083003953	0.9717229586994172
193	Q8I5C4	Q8IKT2	0.5714285714285715	0.816205533596838	0.8785056973454152
