Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_1140800	PF3D7_1140800.1	27.06	29.96	44.46	33.67	149.94	182.08	317.35	361.38	N/A	51.98	76.17	79.88	85.87	84.56	76.5	57.95	68.27	112.41	166.75	96.83	139.66	67.38	63.26	69.89
PF3D7_1140900	PF3D7_1140900.1	5.84	0.83	0.92	0.63	24.13	78.34	225.65	431.88	N/A	10.1	2	1.43	3.44	15.8	33.52	49	53.75	32.01	19.59	15.41	39.51	54.35	44.86	29.71
PF3D7_1141000	PF3D7_1141000.1	1.06	0.42	2.5	1.73	2.5	2.43	23.76	42.48	N/A	1.14	2.31	9.49	5.12	1.5	2.95	7.03	8.58	10.42	11.05	10.15	7.96	8.27	8.71	8.35
PF3D7_1141100	PF3D7_1141100.1	0.55	0.65	0.72	1.2	2.68	2.63	5.67	3.27	N/A	2.9	4.71	4.79	4.54	2.62	2.34	1.93	4.67	13.36	17.11	14.73	11.71	7.53	10.92	14.8
PF3D7_1141200	PF3D7_1141200.1	24.08	7.79	4.19	4.48	92.01	281.07	838.32	984.6	N/A	12.23	4.73	2.31	3.67	19.29	33.38	43.49	47.69	42.55	40.4	49.2	50.91	65.64	60.55	66.79
PF3D7_1141300	PF3D7_1141300.1	44.87	8.55	4.7	2.03	13.47	197.39	1389.18	2386.8	APR1	75.95	21.34	5.21	2.56	16.4	110.87	291.14	344.3	150.46	107.6	89.47	145.99	275.95	253.5	178.07
PF3D7_1141400	PF3D7_1141400.1	46.25	6.59	2.79	2.56	69.76	569.21	2858.77	3229.32	PIGH	74.23	19.23	4.94	3.24	76.06	318.76	541.47	484.85	139.02	91.44	89.2	224.44	331.64	249.44	173.17
PF3D7_1141500	PF3D7_1141500.1	0.9	0.98	0.89	1.14	2.26	15.62	16.59	38.92	N/A	2.17	2.19	1.84	1.54	3.15	8.7	6.59	15.85	11.37	17.68	10.12	10.9	11.09	11.55	17.38
PF3D7_1141600	PF3D7_1141600.1	3.73	3.09	4.95	14.53	106.41	272.8	693.69	764.78	DPM1	10.03	3.98	10.27	31.77	56.22	94.08	114.27	73.89	19.9	26.96	25.84	76.63	51.29	36.79	19.76
PF3D7_1141700	PF3D7_1141700.1	7.88	12.84	24.73	53.14	345.26	479.69	876.94	768.12	N/A	21.28	22.1	95.56	182.53	281.91	244.32	220.32	144.92	50.03	53.67	82.51	103.39	99.19	68.6	47.29
